0, 0, 0, 0.2
1, 0.0126008, 0.0126011, 0.201105
2, 0.0252692, 0.0252719, 0.202217
3, 0.0380034, 0.0380125, 0.203335
4, 0.0508018, 0.0508237, 0.204459
5, 0.0636626, 0.0637057, 0.205589
6, 0.0765837, 0.0766587, 0.206725
7, 0.0895636, 0.0896838, 0.207868
8, 0.1026, 0.102781, 0.209017
9, 0.11569, 0.11595, 0.210172
10, 0.128832, 0.129191, 0.211333
11, 0.142025, 0.142507, 0.212502
12, 0.155265, 0.155895, 0.213676
13, 0.16855, 0.169358, 0.214857
14, 0.181877, 0.182895, 0.216045
15, 0.195245, 0.196507, 0.217239
16, 0.20865, 0.210195, 0.21844
17, 0.22209, 0.223957, 0.219647
18, 0.235562, 0.237796, 0.220861
19, 0.249062, 0.251712, 0.222082
20, 0.262589, 0.265704, 0.223309
21, 0.276138, 0.279774, 0.224543
22, 0.289707, 0.293921, 0.225785
23, 0.303293, 0.308147, 0.227033
24, 0.316892, 0.322451, 0.228287
25, 0.330501, 0.336834, 0.229549
26, 0.344116, 0.351297, 0.230818
27, 0.357734, 0.36584, 0.232094
28, 0.37135, 0.380463, 0.233377
29, 0.384962, 0.395167, 0.234666
30, 0.398565, 0.409952, 0.235964
31, 0.412156, 0.424819, 0.237268
32, 0.42573, 0.439768, 0.238579
33, 0.439283, 0.4548, 0.239898
34, 0.45281, 0.469915, 0.241224
35, 0.466308, 0.485113, 0.242557
36, 0.479773, 0.500396, 0.243898
37, 0.493198, 0.515762, 0.245246
38, 0.506581, 0.531214, 0.246601
39, 0.519915, 0.546751, 0.247964
40, 0.533197, 0.562375, 0.249335
41, 0.54642, 0.578084, 0.250713
42, 0.559581, 0.59388, 0.252099
43, 0.572674, 0.609764, 0.253492
44, 0.585693, 0.625735, 0.254893
45, 0.598634, 0.641795, 0.256302
46, 0.611491, 0.657943, 0.257719
47, 0.624258, 0.674181, 0.259143
48, 0.636929, 0.690508, 0.260576
49, 0.6495, 0.706926, 0.262016
50, 0.661963, 0.723434, 0.263464
51, 0.674313, 0.740034, 0.26492
52, 0.686544, 0.756726, 0.266385
53, 0.69865, 0.773509, 0.267857
54, 0.710625, 0.790386, 0.269338
55, 0.722461, 0.807355, 0.270826
56, 0.734153, 0.824419, 0.272323
57, 0.745695, 0.841577, 0.273828
58, 0.757078, 0.858829, 0.275342
59, 0.768297, 0.876177, 0.276864
60, 0.779346, 0.893621, 0.278394
61, 0.790216, 0.911161, 0.279933
62, 0.800901, 0.928799, 0.28148
63, 0.811394, 0.946533, 0.283036
64, 0.821688, 0.964366, 0.2846
65, 0.831775, 0.982297, 0.286173
66, 0.841648, 1.00033, 0.287755
67, 0.8513, 1.01846, 0.289345
68, 0.860723, 1.03669, 0.290945
69, 0.86991, 1.05502, 0.292553
70, 0.878853, 1.07345, 0.29417
71, 0.887544, 1.09199, 0.295796
72, 0.895975, 1.11062, 0.297431
73, 0.90414, 1.12936, 0.299075
74, 0.91203, 1.14821, 0.300728
75, 0.919636, 1.16715, 0.30239
76, 0.926952, 1.18621, 0.304061
77, 0.933969, 1.20536, 0.305742
78, 0.940679, 1.22463, 0.307432
79, 0.947074, 1.244, 0.309131
80, 0.953147, 1.26347, 0.31084
81, 0.958888, 1.28306, 0.312558
82, 0.96429, 1.30275, 0.314285
83, 0.969345, 1.32255, 0.316022
84, 0.974045, 1.34246, 0.317769
85, 0.978381, 1.36248, 0.319526
86, 0.982346, 1.38262, 0.321292
87, 0.985932, 1.40286, 0.323067
88, 0.989129, 1.42321, 0.324853
89, 0.991932, 1.44368, 0.326649
90, 0.994331, 1.46426, 0.328454
91, 0.996318, 1.48496, 0.33027
92, 0.997886, 1.50577, 0.332095
93, 0.999027, 1.52669, 0.333931
94, 0.999734, 1.54773, 0.335776
95, 0.999998, 1.56888, 0.337632
96, 0.999813, 1.59016, 0.339498
97, 0.99917, 1.61155, 0.341375
98, 0.998063, 1.63306, 0.343262
99, 0.996484, 1.65468, 0.345159
100, 0.994426, 1.67643, 0.347067
101, 0.991883, 1.6983, 0.348985
102, 0.988847, 1.72028, 0.350914
103, 0.985313, 1.74239, 0.352854
104, 0.981274, 1.76463, 0.354804
105, 0.976723, 1.78698, 0.356765
106, 0.971655, 1.80946, 0.358737
107, 0.966064, 1.83206, 0.36072
108, 0.959945, 1.85479, 0.362713
109, 0.953291, 1.87764, 0.364718
110, 0.946099, 1.90062, 0.366734
111, 0.938364, 1.92373, 0.368761
112, 0.930081, 1.94696, 0.370799
113, 0.921245, 1.97032, 0.372849
114, 0.911854, 1.99381, 0.37491
115, 0.901904, 2.01744, 0.376982
116, 0.891391, 2.04119, 0.379066
117, 0.880313, 2.06507, 0.381161
118, 0.868668, 2.08909, 0.383267
119, 0.856453, 2.11323, 0.385386
120, 0.843667, 2.13751, 0.387516
121, 0.83031, 2.16193, 0.389658
122, 0.816378, 2.18648, 0.391812
123, 0.801874, 2.21117, 0.393977
124, 0.786797, 2.23599, 0.396155
125, 0.771149, 2.26095, 0.398344
126, 0.754929, 2.28605, 0.400546
127, 0.738139, 2.31128, 0.40276
128, 0.720784, 2.33666, 0.404986
129, 0.702864, 2.36218, 0.407225
130, 0.684385, 2.38783, 0.409475
131, 0.665348, 2.41363, 0.411739
132, 0.64576, 2.43957, 0.414014
133, 0.625626, 2.46566, 0.416303
134, 0.604951, 2.49189, 0.418604
135, 0.583742, 2.51826, 0.420918
136, 0.562007, 2.54478, 0.423244
137, 0.539753, 2.57145, 0.425583
138, 0.516989, 2.59826, 0.427936
